Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8576923;2623899.647725368;1229630.3765569401;Bützberg, Unterdorf;0;0;75;0;0;22.4;5
8576924;2625050.200341592;1229649.3347327367;Langenthal, Dreilinden;0;0;75;0;0;22.4;5
8576925;2625365.8164789216;1229514.2549991375;Langenthal, Zelgli;0;0;76;0;0;22.11;5
8576926;2626220.9602415576;1229258.1353042556;Langenthal, Wiesenstrasse;0;0;281;0;0;5.98;3
8576927;2626615.1840992714;1229071.9930325213;Langenthal, Tell/Kantonalbank;0;0;280;0;0;6;3
8576928;2626805.245587824;1228872.7249162046;Langenthal, Rössli;0;0;54;0;0;31.11;5
8576929;2627112.9181543705;1228103.9877013;Langenthal, Neuhof;0;0;55;0;0;30.55;5
8576930;2628719.247240319;1227690.8192293218;Obersteckholz, Post;0;0;55;0;0;30.55;5
8576931;2629735.0986881386;1227368.7190028252;Obersteckholz, Am Wald;0;0;55;0;0;30.55;5
8576932;2630583.1422778144;1227132.0909545354;Melchnau, Rotwald;0;0;55;0;0;30.55;5
8576933;2710072.1318178815;1259616.666930721;Ettenhausen TG, Elggerstrasse;0;0;42;0;0;40;5
8576934;2631073.029009857;1226399.6296061617;Melchnau, Unterdorf;0;0;55;0;0;30.55;5
8576935;2631263.974124137;1225816.9457087545;Melchnau, Fabrik;0;0;55;0;0;30.55;5
8576936;2631502.048889853;1225345.6949251299;Melchnau, Oberdorf;0;0;55;0;0;30.55;5
8576937;2626197.006227127;1229606.128722748;Langenthal, Bahnhof;0;0;276;0;0;6.09;3
8576938;2625978.6747988034;1229107.205473196;Langenthal, Lindenhof;0;0;28;0;0;60;5
8576939;2625788.7889083014;1228959.1805833685;Langenthal, Schorenstrasse;0;0;28;0;0;60;5
8576940;2625600.1401804206;1228997.0566571637;Langenthal, Schoren-Ochsen;0;0;56;0;0;30;5
8576942;2625378.10150198;1228390.8540196875;Langenthal, Schoren-Eisbahn;0;0;29;0;0;57.93;5
8576943;2624597.89173024;1228129.093250605;Thunstetten, Schorenmatte;0;0;28;0;0;60;5
8576944;2624153.141452207;1228032.9951067278;Thunstetten, Wischberg;0;0;28;0;0;60;5
8576945;2626430.9449407873;1228866.9384910811;Langenthal, Löwenplatz;0;0;112;0;0;15;4
8576946;2626328.6327022766;1228618.2247455535;Langenthal, Bleichestrasse;0;0;57;0;0;29.47;5
8576947;2626089.1149955196;1228608.3878505768;Langenthal, Neuhüsli;0;0;57;0;0;29.47;5
8576949;2625933.639846977;1227897.2825677898;Langenthal, Dennli;0;0;28;0;0;60;5
8576950;2624200.059500857;1226200.0925074182;Bleienbach, Unterdorf;0;0;28;0;0;60;5
8576951;2621203.9261061917;1224569.7264899728;Bettenhausen, Dorf;0;0;28;0;0;60;5
8576952;2620697.2414029064;1224751.165657518;Bettenhausen, Post;0;0;28;0;0;60;5
8576953;2620348.2617732184;1224646.1261067784;Bollodingen, Hegen;0;0;28;0;0;60;5
8576954;2620565.9593511806;1224128.7903417114;Bollodingen, Dorf;0;0;28;0;0;60;5
8576955;2620077.9183318433;1226266.2778185173;Herzogenbuchsee, Bernstrasse;0;0;56;0;0;30;5
8576957;2710546.690527406;1259844.2610059183;Tänikon, Forschungsanstalt;0;0;42;0;0;40;5
8576958;2710482.6523254807;1260406.7642863079;Aadorf, Matthofstrasse;0;0;42;0;0;40;5
8576959;2619376.627806409;1225422.9058014129;Oberönz, Kreuz;0;0;28;0;0;60;5
8576960;2618973.255105806;1225074.0712869372;Oberönz, Moos;0;0;29;0;0;57.93;5
8576961;2616958.0997874597;1222958.992213537;Seeberg BE, Schlüssel;0;0;29;0;0;57.93;5
8576962;2617814.2138619237;1222340.123240616;Grasswil, Regenhalden;0;0;30;0;0;56;5
8576963;2617429.194498529;1221212.777329597;Grasswil, Oberdorf;0;0;30;0;0;56;5
